open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore,return_1d,return_7d,volatility_20d,rsi,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,bb_upper,bb_lower,bb_width,stoch_k,stoch_d
2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.75786,2023-03-05 23:59:59.999,3473011455.187952,4835978,77394.35765,1735989090.899561,0,,,,,,,,,,,,,,,
2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.82957,2023-03-06 23:59:59.999,4569102169.18569,6471278,102110.26304,2289889200.1667166,0,-0.0009023532516817534,,,,,,,,,,,,,,
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912,2023-03-07 23:59:59.999,6517594938.246053,7813394,145498.64219,3242136502.6546726,0,-0.009461847389558242,,,,,,,,,,,,,,
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,2023-03-08 23:59:59.999,6641171704.242421,8018963,150008.02488,3304860256.104994,0,-0.022187624448372745,,,,,,,,,,,,,,
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,2023-03-09 23:59:59.999,9403028764.707771,10076702,217900.59621,4619803522.043237,0,-0.06188402538718396,,,,,,,,,,,,,,
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,2023-03-10 23:59:59.999,12344992788.912497,12106261,308155.80993,6151475123.535514,0,-0.010388356475865668,,,,,,,,,,,,,,
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,2023-03-11 23:59:59.999,8651590672.468525,10412300,213151.47855,4310534195.909292,0,0.015137943167206735,,,,,,,,,,,,,,
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,2023-03-12 23:59:59.999,8982418413.80114,9721933,218639.0688,4558127964.925805,0,0.07535199183798391,-0.01931009208996426,,,,,,,,,,,,,
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,2023-03-13 23:59:59.999,15824996078.60564,14820760,346688.17025,7976620081.706098,0,0.09621127502658289,0.0760142793395806,,,,,,,,,,,,,
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,2023-03-14 23:59:59.999,17465307097.88407,15223589,351739.11994,8783916247.676138,0,0.023096210086640312,0.1113818567111573,,,,,,,,,,,,,
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,2023-03-15 23:59:59.999,14291005743.897852,12613034,291192.86696,7157472156.962334,0,-0.01559560623435119,0.11887434670755348,,,,,,,,,,,,,
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,2023-03-16 23:59:59.999,10847330151.941004,10418081,220403.30289,5441432259.260846,0,0.02936383034267953,0.2277040519157536,,,,,,,,,,,,,
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,2023-03-17 23:59:59.999,16476681071.24338,13113359,318022.61356,8392477832.002321,0,0.09585867790348179,0.3595132474371847,,,,,,,,,,,,,
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,2023-03-18 23:59:59.999,10135945069.642628,9948603,185687.70768,5070480124.593879,0,-0.017800244057976755,0.31540111254890446,,75.21755124722513,,,,,,,,,,89.65185343120832,
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,2023-03-19 23:59:59.999,10264707987.594164,9578297,188150.56147,5191102286.400918,0,0.039594179910500626,0.2716611409407872,,78.38702041328447,,,,,,,,,,95.28074281105893,
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,2023-03-20 23:59:59.999,13300424536.51492,11775950,239765.29148,6680704887.5321455,0,-0.009146719660871439,0.14944047893543355,,75.87723634623083,,,,,,,,,,91.53874688862712,92.15711437696478
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,2023-03-21 23:59:59.999,11760492716.33759,11530870,210472.34027,5880942507.63001,0,0.014015220256441863,0.1392380588729576,,77.07725347988824,,,,,,,,,,95.89225936381743,94.23724968783449
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296,2023-03-22 23:59:59.999,6272099822.449624,3589327,110355.97386,3089585214.115064,0,-0.030403334297558482,0.12210127293225725,,68.95165221821733,,,,,,,,,,82.64741988376387,90.0261420454028
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818,2023-03-23 23:59:59.999,3591123573.1149583,2159091,65172.02479,1819323637.2903445,0,0.038326709104299805,0.13187163533580448,,72.73511188241073,,,,,,,,,,93.85510829534627,90.7982625143092
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544,2023-03-24 23:59:59.999,2403443392.0273013,1511137,41449.56122,1155147465.7389932,0,-0.029720014659621374,0.002166078423427864,,65.78424883526036,,,,24543.826999999997,,,30220.851724114207,18866.802275885788,0.4626030589373214,84.47130732438248,86.99127850116422
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102,2023-03-25 23:59:59.999,1397227639.2141378,1088721,25326.94876,696042529.0839624,0,0.0003088750210802349,0.020643322732815328,0.8026711387292872,65.81972084140085,,,,24795.4625,,,30521.38022865058,19069.54477134942,0.46185206092853315,83.65678195278835,87.32773252417236
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353,2023-03-26 23:59:59.999,1380973402.9961205,1068196,25248.15818,702028235.0573264,0,0.018392051837111456,-0.00017230981304383608,0.8014112282359149,67.95100007719698,,,,25073.364999999998,,,30848.500553257603,19298.229446742393,0.4606589943757135,87.24158901755982,85.12322609824355
2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.46898,2023-03-27 23:59:59.999,2407130888.034605,1575264,43151.91539,1179905180.6135278,0,-0.030146542215134797,-0.021362333094370523,0.8167543562155021,61.101999836872146,,,,25319.7125,,,31002.811908779953,19636.61309122005,0.4489071042003302,64.93452153446923,78.61096416827246
2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44341,2023-03-28 23:59:59.999,2124533606.765556,1521981,38972.61486,1053473599.2587688,0,0.005019740157663266,-0.030043973646411204,0.8037345974905501,61.772109976065806,,,,25597.494,,,31086.58766752072,20108.40033247928,0.4288774258543215,67.67355313713263,73.28322122972055
2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16008,2023-03-29 23:59:59.999,2519887866.2111588,1704217,45742.08025,1288220696.4926782,0,0.03989315166279228,0.04027856623085335,0.7382582499501621,66.70572110537759,,,,25996.813000000002,,,31048.983296952,20944.642703048004,0.3886761271046568,89.05280239407381,73.88695902189188
