open_time,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,bb_high,bb_low,volatility,pct_change_1d,pct_change_7d
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,45.37680794137713,-24.677676792449347,-95.6124610068162,70.93478421436686,26298.2815,26941.718000000004,27858.450299999997,27277.531919847188,25319.031080152814,0.013087058264487784,-0.012326177492741452,-0.01052228422494228
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,46.28781608355881,-39.88463705622053,-84.46689621669707,44.58225916047654,26323.916999999998,26886.045799999996,27888.16325,27275.26722541853,25372.566774581464,0.013079240617045965,0.0021498469619840588,-0.01710228225977295
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,45.09450557366419,-57.97664709699529,-79.16884639275672,21.192199295761426,26347.003000000004,26826.258,27918.51815,27264.289504972086,25429.716495027922,0.013104032081780022,-0.0031606386816709353,-0.03633151612663754
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,47.73548313233504,-59.41948519621292,-75.21897415344796,15.799488957235042,26352.902500000004,26758.3094,27948.104450000003,27269.263493405386,25436.54150659462,0.012446997339683255,0.005770799495226742,-0.02772387096774187
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,57.229045420395465,-8.148552251768706,-61.80488977311211,53.6563375213434,26408.446999999996,26707.0974,27973.22585,27345.25424668626,25471.63975331373,0.013143666265330431,0.024585759900564774,0.0170622039680699
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,55.319278585671725,22.985524012416136,-44.84680701600646,67.8323310284226,26458.714500000002,26656.1216,27987.193249999997,27389.212659342033,25528.21634065797,0.013211666745900182,-0.004234793250828317,0.012295646298326579
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,56.086084725733166,51.551703148033994,-25.56710498319837,77.11880813123236,26514.762,26606.852199999998,27998.654000000002,27424.63561776453,25604.88838223547,0.013172791653618926,0.002066379851161315,0.01454698155776879
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,67.28668490673485,155.51116881670532,10.648549776782367,144.86261903992295,26656.2645,26578.1002,28017.18855,27561.16768926332,25751.361310736684,0.0137134096894037,0.03820149125305594,0.06644943421270177
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,59.3974988338422,195.4574035278638,47.610320526998656,147.84708300086513,26738.984999999997,26541.9136,28029.667199999996,27632.732874347083,25845.23712565291,0.013669744286297096,-0.017792578530660186,0.04522746980495196
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,58.39016386555755,219.09838623856922,81.90793366931277,137.19045256925645,26799.207999999995,26501.8242,28029.823849999997,27707.694489202746,25890.721510797244,0.013442800875955377,-0.0024750395624435484,0.04594634895489125
