open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore
2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.75786,2023-03-05 23:59:59.999,3473011455.187952,4835978,77394.35765,1735989090.899561,0
2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.82957,2023-03-06 23:59:59.999,4569102169.18569,6471278,102110.26304,2289889200.1667166,0
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912,2023-03-07 23:59:59.999,6517594938.246053,7813394,145498.64219,3242136502.6546726,0
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,2023-03-08 23:59:59.999,6641171704.242421,8018963,150008.02488,3304860256.104994,0
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,2023-03-09 23:59:59.999,9403028764.707773,10076702,217900.59621,4619803522.043237,0
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,2023-03-10 23:59:59.999,12344992788.912497,12106261,308155.80993,6151475123.535514,0
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,2023-03-11 23:59:59.999,8651590672.468525,10412300,213151.47855,4310534195.909292,0
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,2023-03-12 23:59:59.999,8982418413.80114,9721933,218639.0688,4558127964.925805,0
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,2023-03-13 23:59:59.999,15824996078.605639,14820760,346688.17025,7976620081.706098,0
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,2023-03-14 23:59:59.999,17465307097.88407,15223589,351739.11994,8783916247.676138,0
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,2023-03-15 23:59:59.999,14291005743.897852,12613034,291192.86696,7157472156.962334,0
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,2023-03-16 23:59:59.999,10847330151.941004,10418081,220403.30289,5441432259.260846,0
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,2023-03-17 23:59:59.999,16476681071.24338,13113359,318022.61356,8392477832.002321,0
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,2023-03-18 23:59:59.999,10135945069.642628,9948603,185687.70768,5070480124.593879,0
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,2023-03-19 23:59:59.999,10264707987.594164,9578297,188150.56147,5191102286.400918,0
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,2023-03-20 23:59:59.999,13300424536.514921,11775950,239765.29148,6680704887.5321455,0
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,2023-03-21 23:59:59.999,11760492716.33759,11530870,210472.34027,5880942507.63001,0
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296,2023-03-22 23:59:59.999,6272099822.449624,3589327,110355.97386,3089585214.115064,0
